JobID,refstate,lattice,config,Elapsed,Iterations,MaxRSS (K),energy (MeV)
4811187,016gs,3,umain-cpu,00:00:41,47,596680,-98.847583
4792880,016gs,4,umain-cpu,00:04:27,35,2612772,-95.104488
4810424,016gs,5,umain-cpu,00:18:50,38,9809756,-94.938521
4810554,016gs,6,umain-cpu,01:02:49,36,29233120,-94.959971
4792880,016gs,7,umain-cpu,03:13:05,38,72389532,-94.969599
4792880,016gs,8,umain-cpu,06:49:00,36,0,-94.969322
4792880,016gs,9,umain-cpu,14:41:00,36,0,-94.969322
4792880,016gs,10,umain-cpu,29:13:00,0,0,0
4192975,o16gs,4,cpu,00:28:56,100,0,-95.103948
4192975,o16gs,5,cpu,00:41:14,100,6414496,-94.938368
4213034,o16gs,6,cpu,02:30:04,100,16720588,-94.959899
4218323,o16gs,7,cpu,07:16:58,100,39187912,-94.969538
4784818,o16gs,4,jax-cpu,00:13:21,38,2321464,-95.104547
4784819,o16gs,5,jax-cpu,01:09:23,27,7668596,-94.938466
4213034,o16gs,6,jax-cpu,00:00:00,0,0,0
4218323,o16gs,7,jax-cpu,00:00:00,0,0,0
4777387,o16gs,4,jax-gpu,00:00:15,38,5559440,-95.104547
4777430,o16gs,5,jax-gpu,00:00:33,27,6281632,-94.938466
4777431,o16gs,6,jax-gpu,00:01:42,34,7186036,-94.959976
4777516,o16gs,7,jax-gpu,00:05:18,34,11785856,-94.969600


