JobID,refstate,lattice,config,Elapsed,MaxRSS (K),energy (MeV)
loginno,o16gs,4,1n1d,00:00:15,0,-95.104533
4863125,o16gs,4,1n4d,00:00:35,0,-95.104547
4838707,o16gs,4,2n2d,00:05:15,0,-95.104547
4838708,o16gs,4,4n1d,00:03:25,0,-95.104547
loginno,o16gs,5,1n1d,00:00:27,0,-94.938466
4424779,o16gs,5,1n4d,00:00:49,0,-94.938466
4822389,o16gs,5,2n2d,00:04:59,0,-94.938466
4822394,o16gs,5,4n1d,00:02:37,0,-94.938466
loginno,o16gs,6,1n1d,00:01:54,0,-94.959957
4424779,o16gs,6,1n4d,00:01:24,0,-94.959970
4821340,o16gs,6,2n2d,00:15:38,0,-94.959976
4821181,o16gs,6,4n1d,00:07:24,0,-94.959976
loginno,o16gs,7,1n1d,00:05:18,0,-94.969600
4424778,o16gs,7,1n4d,00:02:50,0,-94.969595
4838711,o16gs,7,2n2d,00:43:28,0,-94.969600
4862211,o16gs,7,4n1d,00:18:17,0,-94.969600
