JobID,refstate,lattice,config,Elapsed,MaxRSS (K),energy (MeV)
4192975,o16gs,5,cpu,00:41:14,6414496,-94.938368
4213034,o16gs,6,cpu,02:30:04,16720588,-94.959899
4218323,o16gs,7,cpu,07:16:58,39187912,-94.969538
4213042,o16gs,5,torch,00:03:32,16626564,-94.938467
4215685,o16gs,6,torch,00:19:10,47880360,-94.959978
4216402,o16gs,7,torch,00:45:57,119723700,-94.969621
4229076,o16gs,8,torch,02:56:00,266947288,-94.972020
loginno,h2gs,4,1n1d_diis0_iter1000,00:00:32,0,-2.527889
loginno,h2gs,5,1n1d_diis0_iter1000,00:01:11,0,-1.624219
loginno,h2gs,6,1n1d_diis0_iter1000,00:04:07,0,-1.136842
loginno,h2gs,7,1n1d_diis0_iter1000,00:11:49,0,-0.842999
loginno,h2gs,8,1n1d_diis0_iter1000,00:29:40,0,-0.651093
loginno,h3gs,4,1n1d,00:00:14,0,-12.182833
loginno,h3gs,5,1n1d,00:00:14,0,-12.066013
loginno,h3gs,6,1n1d,00:00:15,0,-12.052289
loginno,h3gs,7,1n1d,00:00:31,0,-12.050609
loginno,h3gs,8,1n1d,00:00:52,0,-12.050397
loginno,h3gs,10,1n1d,00:02:54,0,-12.050366
loginno,he3gs,4,1n1d,00:00:14,0,-12.182833
loginno,he3gs,5,1n1d,00:00:14,0,-12.066013
loginno,he3gs,6,1n1d,00:00:15,0,-12.052289
loginno,he3gs,7,1n1d,00:00:31,0,-12.050609
loginno,he3gs,8,1n1d,00:00:52,0,-12.050397
loginno,he3gs,10,1n1d,00:02:54,0,-12.050366
4588050,he4gs,4,1n1d,00:00:12,4425456,-27.731129
4588686,he4gs,5,1n1d,00:00:18,4538912,-27.416321
4587939,he4gs,6,1n1d,00:00:20,4849736,-27.367214
4587940,he4gs,7,1n1d,00:00:56,5405664,-27.359924
4587941,he4gs,8,1n1d,00:02:08,6525756,-27.357876
4587944,he4gs,10,1n1d,00:05:22,8529360,-27.357600
4587950,he4gs,10,1n4d,00:01:53,20989632,-27.357600
4587951,he4gs,12,1n4d,00:05:55,42358868,-27.357591
loginno,li6gs,4,1n1d_diis0_iter1000,00:00:41,0,-28.479519
loginno,li6gs,5,1n1d_diis0_iter1000,00:02:42,0,-27.998851
loginno,li6gs,6,1n1d_diis0_iter1000,00:10:07,0,-27.766303
loginno,li6gs,7,1n1d_diis0_iter1000,00:00:00,0,0
loginno,li6gs,8,1n1d_diis0_iter1000,00:00:00,0,0
loginno,be8gs,4,1n1d,00:00:13,4469560,-49.422968
loginno,be8gs,5,1n1d,00:00:23,0,-49.279158
loginno,be8gs,6,1n1d,00:00:48,0,-49.282964
4758094,be8gs,7,1n1d,00:01:22,0,-49.288510
4758094,be8gs,7,1n4d,00:01:36,0,-49.288510
4588825,be8gs,8,1n1d,00:01:36,8595416,-49.290471
4588825,be8gs,8,1n4d,00:01:59,0,-49.290469
4757992,be8gs,10,1n4d,00:04:09,0,-49.291190
4588808,be8gs,4,1n1d_diis0,00:00:17,4469560,-49.422966
4588809,be8gs,5,1n1d_diis0,00:00:33,4879644,-49.279157
4588820,be8gs,6,1n1d_diis0,00:01:37,6187060,-49.282961
4588824,be8gs,7,1n1d_diis0,00:04:24,10567772,-49.288509
4589082,be8gs,10,1n4d_diis0,00:16:14,45793500,-49.223867
4589908,c12gs,4,1n1d,00:00:15,4803232,-71.819453
4589909,c12gs,5,1n1d,00:00:40,6021052,-71.754333
4589910,c12gs,6,1n1d,00:01:33,8208012,-71.790105
4589912,c12gs,7,1n1d,00:03:11,8616840,-71.804228
4589949,c12gs,8,1n4d,00:03:09,39292936,-71.808341
loginno,c12ls,4,1n1d,00:00:15,0,-83.355470
loginno,c12ls,4,1n1d,00:00:18,0,-83.355470
loginno,c12ls,5,1n1d,00:00:43,0,-83.168807
loginno,c12ls,5,1n1d,00:00:58,0,-83.168807
loginno,c12ls,6,1n1d,00:01:24,0,-83.038686
loginno,c12ls,7,1n1d,00:02:21,0,-83.018626
4514682,c12ls,8,1n4d,00:02:41,39276592,-83.015460
loginno,o16gs,4,1n1d,00:00:15,0,-95.104533
loginno,o16gs,5,1n1d,00:00:27,0,-94.938466
