id,name,node,time,maxRSS
4259056,ccsd2_jax_6,loginNode,00:00:46,actually (unable to replicate :( )
4364413,ccsd2_jax_6,frontier01098,00:02:28,,
4380730,ccsd2_jax_6,frontier09444,00:02:03,,
4380828,ccsd2_jax_7_platform,frontier06230,00:22:11,6179352K
4380885,ccsd2_jax_7,frontier06534,00:18:06,
4380884,ccsd2_jax_8,frontier00894,00:00:42,
4380952,ccsd2_jax_7,frontier06644,00:00:38,
4380954,ccsd2_jax_7,frontier08958,00:00:37,
4380896,ccsd2_jax_8,frontier10397,00:45:58,
4380959,ccsd2_jax_7,frontier08724,00:00:35,
4381431,ccsd2_jax_8,frontier03195,00:02:14,
4382718,ccsd2_jax_8,frontier05697,00:01:11,
4382779,ccsd2_jax_8,frontier03323,00:01:19,
4382794,ccsd2_jax_8,frontier03455,00:01:24,
4382801,ccsd2_jax_8,frontier06014,00:00:32,
4382815,ccsd2_jax_8,frontier06014,00:00:33,
4383001,shard_ccsd2_7,frontier07308,00:00:03,
4383071,shard_ccsd2_7,frontier05926,00:00:03,
4383144,shard_ccsd2_7,frontier03111,00:00:04,
4383337,shard_ccsd2_7,frontier08981,00:01:12,
4383356,shard_ccsd2_6,frontier09444,00:01:07,
4383361,shard_ccsd2_6,frontier09444,00:01:06,
4383375,shard_ccsd2_6,frontier09193,00:01:06,
4383482,shard_ccsd2_6,frontier09057,00:01:07,
4383541,shard_ccsd2_6,frontier08213,00:01:09,
4383559,shard_ccsd2_7,frontier02968,00:01:08,
4383601,shard_ccsd2_8,frontier03451,00:01:12,
4383613,shard_ccsd2_8,frontier06900,00:01:13,
4383945,shard_ccsd2_8,frontier06829,00:01:14,
4383967,shard_ccsd2_8,frontier05806,00:00:36,
4384340,shard_ccsd2_8,frontier06001,00:01:19,
4384355,shard_ccsd2_8,frontier03064,00:01:14,
4384392,shard_ccsd2_8,frontier03064,00:01:14,
4384406,shard_ccsd2_6,frontier03035,00:01:07,
4384410,shard_ccsd2_8,frontier[07037,07039],00:01:12,
4384423,shard_ccsd2_6,frontier08437,00:01:11,
4384459,shard_ccsd2_6,frontier08825,00:01:12,
4384479,shard_ccsd2_6,frontier08537,00:01:11,
4384524,shard_ccsd2_6,frontier08803,00:00:32,
4384534,shard_ccsd2_6,frontier08803,00:00:37,
4384557,shard_ccsd2_6,frontier08804,00:00:35,
4384566,shard_ccsd2_6,frontier03270,00:00:36,
4384572,shard_ccsd2_6,frontier07534,00:00:37,
4384876,shard_ccsd2_6,frontier08890,00:01:11,
4385226,shard_ccsd2_6,frontier04477,00:01:18,
4385327,shard_ccsd2_6,frontier08700,00:01:08,
4385382,shard_ccsd2_6,frontier02992,00:01:06,
4385617,shard_ccsd2_8,frontier[09465,09468],00:03:52,
4385624,shard_ccsd2_8,frontier08290,00:01:16,
4385749,shard_ccsd2_8,frontier08395,00:00:47,
4385807,shard_ccsd2_8,frontier00460,00:00:51,
4385882,shard_ccsd2_8,frontier00198,00:01:09,
4385891,shard_ccsd2_8,frontier[00332-00333],00:03:03,
4392459,shard_ccsd2_6_2n8d,frontier[04261,04272],00:02:24,
4392606,shard_ccsd2_8_4n8d,frontier[04866,04871-04872,04892],00:00:47,
4392689,shard_ccsd2_8_2n8d,frontier[04872,04892],00:03:26,
4392786,shard_ccsd2_8_6n8d,frontier[00949,00952-00953,00957-00958,00960],00:01:09,
4392793,shard_ccsd2_10_6n8d,frontier[00898,00918,00933,00938,00946-00947],00:00:38,
4392825,shard_ccsd2_8_2n8d,frontier[09353-09354],00:00:49,
4393071,shard_ccsd2_6_2n8d,frontier[09406,09411],00:01:26,
